date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:50:26	358/358	---MCZ	200	added ('OK')	text/plain	date:Fri,%2013%20Jun%202025%2010:50:29%20GMT	https://styleofindonesia.fashion.blog/robots.txt		(from )
18:50:26	108282/108282	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Jun%202025%2010:50:29%20GMT	https://styleofindonesia.fashion.blog/2016/12/03/kebaya/	C:/Baju%20Kebaya%20Archive/Kebaya/styleofindonesia.fashion.blog/2016/12/03/kebaya/index.html	(from )
18:50:26	2417/2417	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%226caf89f2eadda82c73167fce4aa557c5%22	https://styleofindonesia.fashion.blog/2016/12/03/kebaya/feed/	C:/Baju%20Kebaya%20Archive/Kebaya/styleofindonesia.fashion.blog/2016/12/03/kebaya/feed/index.html	(from https://styleofindonesia.fashion.blog/2016/12/03/kebaya/)
18:50:26	116087/116087	---MCZ	200	added ('OK')	text/css	etag:W/116087-1744959106707.6238	https://s1.wp.com/wp-content/plugins/gutenberg-core/v20.6.0/build/block-library/style.css?m=1744959081i&cssminify=yes	C:/Baju%20Kebaya%20Archive/Kebaya/s1.wp.com/wp-content/plugins/gutenberg-core/v20.6.0/build/block-library/style00e5.css	(from https://styleofindonesia.fashion.blog/2016/12/03/kebaya/)
18:50:26	37463/37463	---MCZ	200	added ('OK')	text/css	etag:W/37463-1746618914728.1587	https://s2.wp.com/wp-content/mu-plugins/jetpack-mu-wpcom-plugin/sun/jetpack_vendor/automattic/jetpack-mu-wpcom/src/build/verbum-comments/verbum-comments.css?m=1746618905i&cssminify=yes	C:/Baju%20Kebaya%20Archive/Kebaya/s2.wp.com/wp-content/mu-plugins/jetpack-mu-wpcom-plugin/sun/jetpack_vendor/automattic/jetpack-mu-wpcom/src/build/verbum-comments/verbum-commentsb644.css	(from https://styleofindonesia.fashion.blog/2016/12/03/kebaya/)
18:50:27	289822/289822	---MCZ	200	added ('OK')	text/css	etag:W/289822-1738686372288.6567	https://widgets.wp.com/verbum-block-editor/block-editor.css?ver=1738686361	C:/Baju%20Kebaya%20Archive/Kebaya/widgets.wp.com/verbum-block-editor/block-editor55e2.css	(from https://styleofindonesia.fashion.blog/2016/12/03/kebaya/)
18:50:27	11174/11174	---MCZ	200	added ('OK')	application/javascript	etag:W/%22675728e0-2ba6%22	https://s1.wp.com/_static/??/wp-content/mu-plugins/jetpack-plugin/sun/_inc/build/related-posts/related-posts.min.js,/wp-content/js/rlt-proxy.js?m=1733765333j	C:/Baju%20Kebaya%20Archive/Kebaya/s1.wp.com/_static/indexbe93.html	(from https://styleofindonesia.fashion.blog/2016/12/03/kebaya/)
18:50:27	4730/4730	---MCZ	200	added ('OK')	application/javascript	etag:W/%226801f681-127a%22	https://s0.wp.com/wp-content/plugins/gutenberg-core/v20.6.0/build/hooks/index.min.js?m=1744959081i&ver=84e753e2b66eb7028d38	C:/Baju%20Kebaya%20Archive/Kebaya/s0.wp.com/wp-content/plugins/gutenberg-core/v20.6.0/build/hooks/index.min0e4e.js	(from https://styleofindonesia.fashion.blog/2016/12/03/kebaya/)
18:50:28	8831/8831	---MCZ	200	added ('OK')	application/javascript	etag:W/%226801f681-227f%22	https://s0.wp.com/wp-content/plugins/gutenberg-core/v20.6.0/build/i18n/index.min.js?m=1744959081i&ver=bd5a2533e717a1043151	C:/Baju%20Kebaya%20Archive/Kebaya/s0.wp.com/wp-content/plugins/gutenberg-core/v20.6.0/build/i18n/index.minb892.js	(from https://styleofindonesia.fashion.blog/2016/12/03/kebaya/)
18:50:28	6211/6211	---M--	200	added ('OK')	image/png	etag:%2266278e2e-1843%22	https://s2.wp.com/i/webclip.png	C:/Baju%20Kebaya%20Archive/Kebaya/s2.wp.com/i/webclip.png	(from https://styleofindonesia.fashion.blog/2016/12/03/kebaya/)
18:50:29	131310/131310	---M--	200	added ('OK')	image/jpeg	date:Sat,%2003%20Dec%202016%2005:51:22%20GMT	https://styleofindonesia.fashion.blog/wp-content/uploads/2016/12/wanita_dan_kebaya_4_by_mumowcamefromhell.jpg?w=900&h=600&crop=1	C:/Baju%20Kebaya%20Archive/Kebaya/styleofindonesia.fashion.blog/wp-content/uploads/2016/12/wanita_dan_kebaya_4_by_mumowcamefromhell2cc2.jpg	(from https://styleofindonesia.fashion.blog/2016/12/03/kebaya/)
18:50:29	55134/55134	---M--	200	added ('OK')	image/jpeg	date:Sun,%2004%20Dec%202016%2006:36:27%20GMT	https://styleofindonesia.fashion.blog/wp-content/uploads/2016/12/puteripaulina-696x452.jpg?w=532&h=346	C:/Baju%20Kebaya%20Archive/Kebaya/styleofindonesia.fashion.blog/wp-content/uploads/2016/12/puteripaulina-696x45223d0.jpg	(from https://styleofindonesia.fashion.blog/2016/12/03/kebaya/)
18:50:30	138/138	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2013%20Jun%202025%2010:50:33%20GMT	https://pramugariblog.files.wordpress.com/2013/01/176604_10151191970433301_434001175_o_zpsdb1c8e5b.jpg	C:/Baju%20Kebaya%20Archive/Kebaya/pramugariblog.files.wordpress.com/2013/01/176604_10151191970433301_434001175_o_zpsdb1c8e5b.8.delayed	(from https://styleofindonesia.fashion.blog/2016/12/03/kebaya/)
18:50:30	105372/105372	---M--	200	added ('OK')	image/jpeg	date:Sun,%2006%20Jan%202013%2010:00:35%20GMT	https://pramugariblog.wordpress.com/wp-content/uploads/2013/01/176604_10151191970433301_434001175_o_zpsdb1c8e5b.jpg	C:/Baju%20Kebaya%20Archive/Kebaya/pramugariblog.wordpress.com/wp-content/uploads/2013/01/176604_10151191970433301_434001175_o_zpsdb1c8e5b.jpg	(from https://styleofindonesia.fashion.blog/2016/12/03/kebaya/)
18:50:30	138/138	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2013%20Jun%202025%2010:50:34%20GMT	https://pramugariblog.files.wordpress.com/2013/01/176604_10151191970433301_434001175_o_zpsdb1c8e5b.jpg?w=1000	C:/Baju%20Kebaya%20Archive/Kebaya/pramugariblog.files.wordpress.com/2013/01/176604_10151191970433301_434001175_o_zpsdb1c8e5b.a001f.delayed	(from https://styleofindonesia.fashion.blog/2016/12/03/kebaya/)
18:50:31	91805/91805	---M--	200	added ('OK')	image/jpeg	date:Sun,%2006%20Jan%202013%2010:00:35%20GMT	https://pramugariblog.wordpress.com/wp-content/uploads/2013/01/176604_10151191970433301_434001175_o_zpsdb1c8e5b.jpg?w=1000	C:/Baju%20Kebaya%20Archive/Kebaya/pramugariblog.wordpress.com/wp-content/uploads/2013/01/176604_10151191970433301_434001175_o_zpsdb1c8e5b001f.jpg	(from https://styleofindonesia.fashion.blog/2016/12/03/kebaya/)
18:50:31	5271/5271	---MCZ	200	added ('OK')	application/javascript	etag:W/5291-1749759892388.1963	https://s2.wp.com/wp-content/mu-plugins/jetpack-plugin/sun/jetpack_vendor/automattic/jetpack-forms/dist/modules/form/view.js?ver=14.8-a.4	C:/Baju%20Kebaya%20Archive/Kebaya/s2.wp.com/wp-content/mu-plugins/jetpack-plugin/sun/jetpack_vendor/automattic/jetpack-forms/dist/modules/form/viewa785.js	(from https://styleofindonesia.fashion.blog/2016/12/03/kebaya/)
18:50:31	0/0	---MC-	302	error ('Found')	text/html	date:Fri,%2013%20Jun%202025%2010:50:35%20GMT	https://styleofindonesia.fashion.blog/2016/12/03/kebaya/?share=twitter	C:/Baju%20Kebaya%20Archive/Kebaya/styleofindonesia.fashion.blog/2016/12/03/kebaya/index9a7b.html	(from https://styleofindonesia.fashion.blog/2016/12/03/kebaya/)
18:50:31	0/0	---MC-	302	error ('Found')	text/html	date:Fri,%2013%20Jun%202025%2010:50:35%20GMT	https://styleofindonesia.fashion.blog/2016/12/03/kebaya/?share=facebook	C:/Baju%20Kebaya%20Archive/Kebaya/styleofindonesia.fashion.blog/2016/12/03/kebaya/index5a58.html	(from https://styleofindonesia.fashion.blog/2016/12/03/kebaya/)
18:50:33	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2013%20Jun%202025%2010:50:36%20GMT	http://0.gravatar.com/js/hovercards/hovercards.min.js?ver=20252417d2298fc173af206bd9f65440008ab9e1ee2bd896241083289a9e27bd0efc7c	C:/Baju%20Kebaya%20Archive/Kebaya/0.gravatar.com/js/hovercards/hovercards.min.ed481.delayed	(from https://styleofindonesia.fashion.blog/2016/12/03/kebaya/)
18:50:33	37841/37841	---MCZ	200	added ('OK')	application/javascript	etag:W/%226801f683-93d1%22	https://s0.wp.com/wp-content/plugins/gutenberg-core/v20.6.0/build-module/interactivity/index.min.js?ver=d9948f13df6155717023	C:/Baju%20Kebaya%20Archive/Kebaya/s0.wp.com/wp-content/plugins/gutenberg-core/v20.6.0/build-module/interactivity/index.minb35f.js	(from https://styleofindonesia.fashion.blog/2016/12/03/kebaya/)
18:50:33	21280/21280	---MCZ	200	added ('OK')	application/javascript	etag:W/%2268187382-5320%22	https://0.gravatar.com/js/hovercards/hovercards.min.js?ver=20252417d2298fc173af206bd9f65440008ab9e1ee2bd896241083289a9e27bd0efc7c	C:/Baju%20Kebaya%20Archive/Kebaya/0.gravatar.com/js/hovercards/hovercards.mind481.js	(from https://styleofindonesia.fashion.blog/2016/12/03/kebaya/)
18:50:34	655/655	---MCZ	200	added ('OK')	application/javascript	etag:W/1125-1684465158518.6208	https://s2.wp.com/wp-content/mu-plugins/gravatar-hovercards/wpgroho.js?m=1610363240i	C:/Baju%20Kebaya%20Archive/Kebaya/s2.wp.com/wp-content/mu-plugins/gravatar-hovercards/wpgrohoe8bd.js	(from https://styleofindonesia.fashion.blog/2016/12/03/kebaya/)
18:50:34	65109/65109	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2013%20Jun%202025%2010:50:38%20GMT	https://styleofindonesia.fashion.blog/2016/12/03/kebaya/GET	C:/Baju%20Kebaya%20Archive/Kebaya/styleofindonesia.fashion.blog/2016/12/03/kebaya/GET	(from https://styleofindonesia.fashion.blog/2016/12/03/kebaya/)
18:50:34	8203/8203	---M--	200	added ('OK')	image/png	etag:%226466e5ae-200b%22	https://s2.wp.com/i/logo/wpcom-gray-white.png	C:/Baju%20Kebaya%20Archive/Kebaya/s2.wp.com/i/logo/wpcom-gray-white.png	(from https://styleofindonesia.fashion.blog/2016/12/03/kebaya/)
18:50:34	16011/16011	---MCZ	200	added ('OK')	text/css	etag:W/18775-1737070803055.2302	https://s0.wp.com/wp-content/mu-plugins/actionbar/actionbar.css?v=20250116	C:/Baju%20Kebaya%20Archive/Kebaya/s0.wp.com/wp-content/mu-plugins/actionbar/actionbar3d0f.css	(from https://styleofindonesia.fashion.blog/2016/12/03/kebaya/)
18:50:35	9088/9088	---MCZ	200	added ('OK')	application/javascript	etag:W/17401-1738713592589.6777	https://s0.wp.com/wp-content/mu-plugins/actionbar/actionbar.js?v=20250204	C:/Baju%20Kebaya%20Archive/Kebaya/s0.wp.com/wp-content/mu-plugins/actionbar/actionbarb20e.js	(from https://styleofindonesia.fashion.blog/2016/12/03/kebaya/)
18:50:35	6113/6113	---MCZ	200	added ('OK')	application/javascript	etag:W/11978-1684461265774.0432	https://s1.wp.com/wp-content/js/mobile-useragent-info.js?m=1609849039i&ver=20241018	C:/Baju%20Kebaya%20Archive/Kebaya/s1.wp.com/wp-content/js/mobile-useragent-infodb1d.js	(from https://styleofindonesia.fashion.blog/2016/12/03/kebaya/)
