date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:56:08	115/115	---M-Z	200	added ('OK')	text/plain	date:Tue,%2020%20May%202025%2005:56:06%20GMT	https://www.wawantailor.com/robots.txt		(from )
13:56:09	71933/71933	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20May%202025%2005:56:06%20GMT	https://www.wawantailor.com/blog/kebaya-pakaian-tradisional-yang-sarat-makna/	C:/Baju%20Kebaya%20Archive/Pakaian%20Tradisional/www.wawantailor.com/blog/kebaya-pakaian-tradisional-yang-sarat-makna/index.html	(from )
13:56:09	116363/116363	---M-Z	200	added ('OK')	text/css	etag:%221c68b-6817454c-0;gz%22	https://www.wawantailor.com/blog/wp-includes/css/dist/block-library/style.min.css?ver=6.8.1	C:/Baju%20Kebaya%20Archive/Pakaian%20Tradisional/www.wawantailor.com/blog/wp-includes/css/dist/block-library/style.min0899.css	(from https://www.wawantailor.com/blog/kebaya-pakaian-tradisional-yang-sarat-makna/)
13:56:09	11256/11256	---M-Z	200	added ('OK')	text/css	etag:%222bf8-5fe00ce6-0;gz%22	https://www.wawantailor.com/blog/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css?ver=4.2.17	C:/Baju%20Kebaya%20Archive/Pakaian%20Tradisional/www.wawantailor.com/blog/wp-includes/js/mediaelement/mediaelementplayer-legacy.min1f61.css	(from https://www.wawantailor.com/blog/kebaya-pakaian-tradisional-yang-sarat-makna/)
13:56:10	4186/4186	---M-Z	200	added ('OK')	text/css	etag:%22105a-5e0987c9-0;gz%22	https://www.wawantailor.com/blog/wp-includes/js/mediaelement/wp-mediaelement.min.css?ver=6.8.1	C:/Baju%20Kebaya%20Archive/Pakaian%20Tradisional/www.wawantailor.com/blog/wp-includes/js/mediaelement/wp-mediaelement.min0899.css	(from https://www.wawantailor.com/blog/kebaya-pakaian-tradisional-yang-sarat-makna/)
13:56:10	1145/1145	---M-Z	200	added ('OK')	application/rss+xml	etag:%22206c77fde82d2909c4e1930bfa461825%22	https://www.wawantailor.com/blog/kebaya-pakaian-tradisional-yang-sarat-makna/feed/	C:/Baju%20Kebaya%20Archive/Pakaian%20Tradisional/www.wawantailor.com/blog/kebaya-pakaian-tradisional-yang-sarat-makna/feed/index.html	(from https://www.wawantailor.com/blog/kebaya-pakaian-tradisional-yang-sarat-makna/)
13:56:10	2894/2894	---M-Z	200	added ('OK')	text/css	etag:%22b4e-681747bc-0;gz%22	https://www.wawantailor.com/blog/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=6.0.6	C:/Baju%20Kebaya%20Archive/Pakaian%20Tradisional/www.wawantailor.com/blog/wp-content/plugins/contact-form-7/includes/css/stylesfc7a.css	(from https://www.wawantailor.com/blog/kebaya-pakaian-tradisional-yang-sarat-makna/)
13:56:10	49839/49839	---M-Z	200	added ('OK')	text/css	etag:%22c2af-5c88accb-0;gz%22	https://www.wawantailor.com/blog/wp-content/themes/ribosome/style.css?ver=2.5.0	C:/Baju%20Kebaya%20Archive/Pakaian%20Tradisional/www.wawantailor.com/blog/wp-content/themes/ribosome/style0875.css	(from https://www.wawantailor.com/blog/kebaya-pakaian-tradisional-yang-sarat-makna/)
13:56:10	1999/1999	---M-Z	200	added ('OK')	text/css	etag:%227cf-5c88accb-0;gz%22	https://www.wawantailor.com/blog/wp-content/themes/ribosome/css/blocks.css?ver=2.5.0	C:/Baju%20Kebaya%20Archive/Pakaian%20Tradisional/www.wawantailor.com/blog/wp-content/themes/ribosome/css/blocks0875.css	(from https://www.wawantailor.com/blog/kebaya-pakaian-tradisional-yang-sarat-makna/)
13:56:11	59016/59016	---M-Z	200	added ('OK')	text/css	etag:%22e688-6077c2f7-0;gz%22	https://www.wawantailor.com/blog/wp-includes/css/dashicons.min.css?ver=6.8.1	C:/Baju%20Kebaya%20Archive/Pakaian%20Tradisional/www.wawantailor.com/blog/wp-includes/css/dashicons.min0899.css	(from https://www.wawantailor.com/blog/kebaya-pakaian-tradisional-yang-sarat-makna/)
13:56:11	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%227918-5c88accb-0;gz%22	https://www.wawantailor.com/blog/wp-content/themes/ribosome/css/font-awesome-4.7.0/css/font-awesome.min.css?ver=6.8.1	C:/Baju%20Kebaya%20Archive/Pakaian%20Tradisional/www.wawantailor.com/blog/wp-content/themes/ribosome/css/font-awesome-4.7.0/css/font-awesome.min0899.css	(from https://www.wawantailor.com/blog/kebaya-pakaian-tradisional-yang-sarat-makna/)
13:56:11	587/587	---M-Z	200	added ('OK')	text/css	etag:%2224b-5e097b2f-0;gz%22	https://www.wawantailor.com/blog/wp-content/plugins/addthis-follow/frontend/build/addthis_wordpress_public.min.css?ver=6.8.1	C:/Baju%20Kebaya%20Archive/Pakaian%20Tradisional/www.wawantailor.com/blog/wp-content/plugins/addthis-follow/frontend/build/addthis_wordpress_public.min0899.css	(from https://www.wawantailor.com/blog/kebaya-pakaian-tradisional-yang-sarat-makna/)
