date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:00:59	158/158	---M-Z	302	error ('Found')	text/plain	date:Tue,%2020%20May%202025%2006:00:55%20GMT	https://duniafesyen.com/robots.txt		(from )
14:01:00	297373/297373	---M-Z	200	added ('OK')	text/html	date:Tue,%2020%20May%202025%2006:00:55%20GMT	https://duniafesyen.com/2024/07/05/tradisi-elegan-pesona-baju-kebaya-pengantin-di-malaysia/	C:/Baju%20Kebaya%20Archive/Pesona%20Baju%20Kebaya%20Pengantin/duniafesyen.com/2024/07/05/tradisi-elegan-pesona-baju-kebaya-pengantin-di-malaysia/index.html	(from )
14:01:01	1027/1027	---M--	200	added ('OK')	image/png	etag:%22d8942ec18113ae33e3f1078335fa9083%22	https://duniafesyen-media.s3.ap-southeast-1.amazonaws.com/wp-content/uploads/2025/03/03181828/DF-Favicon-32x32-1.png	C:/Baju%20Kebaya%20Archive/Pesona%20Baju%20Kebaya%20Pengantin/duniafesyen-media.s3.ap-southeast-1.amazonaws.com/wp-content/uploads/2025/03/03181828/DF-Favicon-32x32-1.png	(from https://duniafesyen.com/2024/07/05/tradisi-elegan-pesona-baju-kebaya-pengantin-di-malaysia/)
14:01:04	16471/16471	---M-Z	200	added ('OK')	text/css	etag:%224057-68085dcd-12873a6;gz%22	https://duniafesyen.com/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	C:/Baju%20Kebaya%20Archive/Pesona%20Baju%20Kebaya%20Pengantin/duniafesyen.com/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from https://duniafesyen.com/2024/07/05/tradisi-elegan-pesona-baju-kebaya-pengantin-di-malaysia/)
14:01:05	949/949	---M-Z	200	added ('OK')	application/rss+xml	etag:%22660f5bb9bab5ed5b3f678c1f01a8d04b%22	https://duniafesyen.com/2024/07/05/tradisi-elegan-pesona-baju-kebaya-pengantin-di-malaysia/feed/	C:/Baju%20Kebaya%20Archive/Pesona%20Baju%20Kebaya%20Pengantin/duniafesyen.com/2024/07/05/tradisi-elegan-pesona-baju-kebaya-pengantin-di-malaysia/feed/index.html	(from https://duniafesyen.com/2024/07/05/tradisi-elegan-pesona-baju-kebaya-pengantin-di-malaysia/)
14:01:06	5486/5486	---M-Z	200	added ('OK')	text/css	etag:%22156e-68085dcd-1287097;gz%22	https://duniafesyen.com/wp-content/plugins/elementor/assets/css/conditionals/e-swiper.min.css?ver=3.28.4	C:/Baju%20Kebaya%20Archive/Pesona%20Baju%20Kebaya%20Pengantin/duniafesyen.com/wp-content/plugins/elementor/assets/css/conditionals/e-swiper.min89ce.css	(from https://duniafesyen.com/2024/07/05/tradisi-elegan-pesona-baju-kebaya-pengantin-di-malaysia/)
14:01:06	41838/41838	---M-Z	200	added ('OK')	text/css	etag:%22a36e-682341c5-12832af;gz%22	https://duniafesyen.com/wp-content/plugins/instagram-feed/css/sbi-styles.min.css?ver=6.9.0	C:/Baju%20Kebaya%20Archive/Pesona%20Baju%20Kebaya%20Pengantin/duniafesyen.com/wp-content/plugins/instagram-feed/css/sbi-styles.mine1b2.css	(from https://duniafesyen.com/2024/07/05/tradisi-elegan-pesona-baju-kebaya-pengantin-di-malaysia/)
14:01:06	79685/79685	---M-Z	200	added ('OK')	text/css	etag:%2213745-682341ce-1283586;gz%22	https://duniafesyen.com/wp-content/plugins/header-footer-elementor/inc/widgets-css/frontend.css?ver=2.3.1	C:/Baju%20Kebaya%20Archive/Pesona%20Baju%20Kebaya%20Pengantin/duniafesyen.com/wp-content/plugins/header-footer-elementor/inc/widgets-css/frontend254d.css	(from https://duniafesyen.com/2024/07/05/tradisi-elegan-pesona-baju-kebaya-pengantin-di-malaysia/)
14:01:07	116363/116363	---M-Z	200	added ('OK')	text/css	etag:%221c68b-67ff4f47-12868af;gz%22	https://duniafesyen.com/wp-includes/css/dist/block-library/style.min.css?ver=6.8.1	C:/Baju%20Kebaya%20Archive/Pesona%20Baju%20Kebaya%20Pengantin/duniafesyen.com/wp-includes/css/dist/block-library/style.min0899.css	(from https://duniafesyen.com/2024/07/05/tradisi-elegan-pesona-baju-kebaya-pengantin-di-malaysia/)
14:01:07	3994/3994	---M-Z	200	added ('OK')	text/css	etag:%22f9a-67da5eeb-1281021;gz%22	http://duniafesyen.com/wp-content/plugins/revslider/public/css/sr7.css?ver=6.7.30	C:/Baju%20Kebaya%20Archive/Pesona%20Baju%20Kebaya%20Pengantin/duniafesyen.com/wp-content/plugins/revslider/public/css/sr7968e.css	(from https://duniafesyen.com/2024/07/05/tradisi-elegan-pesona-baju-kebaya-pengantin-di-malaysia/)
14:01:08	776/776	---M-Z	200	added ('OK')	text/css	etag:%22308-682341ce-12834f0;gz%22	https://duniafesyen.com/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor.css?ver=2.3.1	C:/Baju%20Kebaya%20Archive/Pesona%20Baju%20Kebaya%20Pengantin/duniafesyen.com/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor254d.css	(from https://duniafesyen.com/2024/07/05/tradisi-elegan-pesona-baju-kebaya-pengantin-di-malaysia/)
14:01:08	20400/20400	---M-Z	200	added ('OK')	text/css	etag:%224fb0-68085dcd-1287352;gz%22	https://duniafesyen.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.36.0	C:/Baju%20Kebaya%20Archive/Pesona%20Baju%20Kebaya%20Pengantin/duniafesyen.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min4e44.css	(from https://duniafesyen.com/2024/07/05/tradisi-elegan-pesona-baju-kebaya-pengantin-di-malaysia/)
14:01:08	1148/1148	---M-Z	200	added ('OK')	text/css	etag:%2247c-68085eb6-12807f1;gz%22	https://duniafesyen.com/wp-content/uploads/elementor/css/post-7.css?ver=1745378998	C:/Baju%20Kebaya%20Archive/Pesona%20Baju%20Kebaya%20Pengantin/duniafesyen.com/wp-content/uploads/elementor/css/post-77f87.css	(from https://duniafesyen.com/2024/07/05/tradisi-elegan-pesona-baju-kebaya-pengantin-di-malaysia/)
14:01:09	2279/2279	---M-Z	200	added ('OK')	text/css	etag:%228e7-682341d9-1285689;gz%22	https://duniafesyen.com/wp-content/plugins/woocommerce/assets/css/brands.css?ver=9.8.5	C:/Baju%20Kebaya%20Archive/Pesona%20Baju%20Kebaya%20Pengantin/duniafesyen.com/wp-content/plugins/woocommerce/assets/css/brands519f.css	(from https://duniafesyen.com/2024/07/05/tradisi-elegan-pesona-baju-kebaya-pengantin-di-malaysia/)
14:01:09	7947/7947	---M-Z	200	added ('OK')	text/css	etag:%221f0b-682341d9-12856ba;gz%22	https://duniafesyen.com/wp-content/plugins/woocommerce/assets/css/photoswipe/default-skin/default-skin.min.css?ver=9.8.5	C:/Baju%20Kebaya%20Archive/Pesona%20Baju%20Kebaya%20Pengantin/duniafesyen.com/wp-content/plugins/woocommerce/assets/css/photoswipe/default-skin/default-skin.min519f.css	(from https://duniafesyen.com/2024/07/05/tradisi-elegan-pesona-baju-kebaya-pengantin-di-malaysia/)
