date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:29:27	165211/165211	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Jun%202025%2011:29:12%20GMT	https://news.detik.com/berita/d-7671332/unesco-tetapkan-kebaya-jadi-warisan-budaya-dunia	C:/Baju%20Kebaya%20Archive/UNESCO%20Tetapkan%20Kebaya/news.detik.com/berita/d-7671332/unesco-tetapkan-kebaya-jadi-warisan-budaya-dunia.html	(from )
19:29:28	257/257	---MCZ	200	added ('OK')	text/plain	etag:W/%22683427df-276%22	https://news.detik.com/robots.txt		(from )
19:29:28	325/325	---M--	200	added ('OK')	text/plain	date:Fri,%2013%20Jun%202025%2011:29:32%20GMT	https://iat.detiknetwork.com/ip-information.js	C:/Baju%20Kebaya%20Archive/UNESCO%20Tetapkan%20Kebaya/iat.detiknetwork.com/ip-information.js	(from https://news.detik.com/berita/d-7671332/unesco-tetapkan-kebaya-jadi-warisan-budaya-dunia)
19:29:29	86571/86571	---MCZ	200	added ('OK')	application/javascript	etag:W/%22684a4f34-1522b%22	https://awscdn.detik.net.id/assets/js/jquery-min-3.2.1.js?v=202506131871	C:/Baju%20Kebaya%20Archive/UNESCO%20Tetapkan%20Kebaya/awscdn.detik.net.id/assets/js/jquery-min-3.2.1f727.js	(from https://news.detik.com/berita/d-7671332/unesco-tetapkan-kebaya-jadi-warisan-budaya-dunia)
19:29:30	349/349	---MCZ	200	added ('OK')	application/javascript	etag:W/%22684a4f34-15d%22	https://awscdn.detik.net.id/assets/js/liquidimage.js?v=202506131871	C:/Baju%20Kebaya%20Archive/UNESCO%20Tetapkan%20Kebaya/awscdn.detik.net.id/assets/js/liquidimagef727.js	(from https://news.detik.com/berita/d-7671332/unesco-tetapkan-kebaya-jadi-warisan-budaya-dunia)
19:29:30	848/848	---MCZ	200	added ('OK')	application/javascript	etag:W/%22684a4f34-350%22	https://awscdn.detik.net.id/assets/js/dropdownmenu.js?v=202506131871	C:/Baju%20Kebaya%20Archive/UNESCO%20Tetapkan%20Kebaya/awscdn.detik.net.id/assets/js/dropdownmenuf727.js	(from https://news.detik.com/berita/d-7671332/unesco-tetapkan-kebaya-jadi-warisan-budaya-dunia)
19:29:31	25110/25110	---MCZ	200	added ('OK')	application/javascript	etag:W/%22684a4f34-6216%22	https://awscdn.detik.net.id/assets/js/zoomimg.js?v=202506131871	C:/Baju%20Kebaya%20Archive/UNESCO%20Tetapkan%20Kebaya/awscdn.detik.net.id/assets/js/zoomimgf727.js	(from https://news.detik.com/berita/d-7671332/unesco-tetapkan-kebaya-jadi-warisan-budaya-dunia)
19:29:31	205/205	---M--	200	added ('OK')	application/javascript	etag:%22684a4f34-cd%22	https://awscdn.detik.net.id/assets/js/linkcopiedpop.js?v=202506131871	C:/Baju%20Kebaya%20Archive/UNESCO%20Tetapkan%20Kebaya/awscdn.detik.net.id/assets/js/linkcopiedpopf727.js	(from https://news.detik.com/berita/d-7671332/unesco-tetapkan-kebaya-jadi-warisan-budaya-dunia)
19:29:32	13916/13916	---MCZ	200	added ('OK')	application/javascript	etag:W/%22684a4f34-365c%22	https://awscdn.detik.net.id/assets/js/iframeresizer.js?v=202506131871	C:/Baju%20Kebaya%20Archive/UNESCO%20Tetapkan%20Kebaya/awscdn.detik.net.id/assets/js/iframeresizerf727.js	(from https://news.detik.com/berita/d-7671332/unesco-tetapkan-kebaya-jadi-warisan-budaya-dunia)
19:29:34	125239/125239	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Jun%202025%2011:29:19%20GMT	https://news.detik.com/berita/d-7671332/unesco-tetapkan-kebaya-jadi-warisan-budaya-dunia/amp	C:/Baju%20Kebaya%20Archive/UNESCO%20Tetapkan%20Kebaya/news.detik.com/berita/d-7671332/unesco-tetapkan-kebaya-jadi-warisan-budaya-dunia/amp.html	(from https://news.detik.com/berita/d-7671332/unesco-tetapkan-kebaya-jadi-warisan-budaya-dunia)
