date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:03:52	24/24	---M--	200	added ('OK')	text/plain	date:Thu,%2014%20Jan%202021%2004:59:26%20GMT	https://mhf.org.sg/robots.txt		(from )
03:03:53	211981/211981	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Jun%202025%2019:03:52%20GMT	https://mhf.org.sg/evolusi-baju-kurung/	C:/Baju%20Kurung%20Archive/Evolusi%20Baju%20Kurung/mhf.org.sg/evolusi-baju-kurung/index.html	(from )
03:03:53	116363/116363	---M-Z	200	added ('OK')	text/css	date:Sun,%2011%20May%202025%2019:40:30%20GMT	https://mhf.org.sg/wp-includes/css/dist/block-library/style.min.css?ver=6.8.1	C:/Baju%20Kurung%20Archive/Evolusi%20Baju%20Kurung/mhf.org.sg/wp-includes/css/dist/block-library/style.min0899.css	(from https://mhf.org.sg/evolusi-baju-kurung/)
03:03:53	75654/75654	---M-Z	200	added ('OK')	text/css	date:Sun,%2008%20Jun%202025%2020:41:28%20GMT	https://mhf.org.sg/wp-content/themes/astra/assets/css/minified/style.min.css?ver=4.11.2	C:/Baju%20Kurung%20Archive/Evolusi%20Baju%20Kurung/mhf.org.sg/wp-content/themes/astra/assets/css/minified/style.min2720.css	(from https://mhf.org.sg/evolusi-baju-kurung/)
03:03:53	744/744	---M--	200	added ('OK')	application/rss+xml	etag:%2259b9a69be42708248ca207907779b53d%22	https://mhf.org.sg/evolusi-baju-kurung/feed/	C:/Baju%20Kurung%20Archive/Evolusi%20Baju%20Kurung/mhf.org.sg/evolusi-baju-kurung/feed/index.html	(from https://mhf.org.sg/evolusi-baju-kurung/)
03:03:53	79685/79685	---M-Z	200	added ('OK')	text/css	date:Sun,%2008%20Jun%202025%2020:40:17%20GMT	https://mhf.org.sg/wp-content/plugins/header-footer-elementor/inc/widgets-css/frontend.css?ver=2.3.2	C:/Baju%20Kurung%20Archive/Evolusi%20Baju%20Kurung/mhf.org.sg/wp-content/plugins/header-footer-elementor/inc/widgets-css/frontend95b8.css	(from https://mhf.org.sg/evolusi-baju-kurung/)
03:03:54	22525/22525	---M-Z	200	added ('OK')	text/css	date:Fri,%2006%20Jun%202025%2020:26:20%20GMT	https://mhf.org.sg/wp-content/plugins/translatepress-multilingual/assets/css/trp-floater-language-switcher.css?ver=2.9.16	C:/Baju%20Kurung%20Archive/Evolusi%20Baju%20Kurung/mhf.org.sg/wp-content/plugins/translatepress-multilingual/assets/css/trp-floater-language-switcher3818.css	(from https://mhf.org.sg/evolusi-baju-kurung/)
03:03:54	3042/3042	---M-Z	200	added ('OK')	text/css	date:Fri,%2006%20Jun%202025%2020:26:20%20GMT	https://mhf.org.sg/wp-content/plugins/translatepress-multilingual/assets/css/trp-language-switcher.css?ver=2.9.16	C:/Baju%20Kurung%20Archive/Evolusi%20Baju%20Kurung/mhf.org.sg/wp-content/plugins/translatepress-multilingual/assets/css/trp-language-switcher3818.css	(from https://mhf.org.sg/evolusi-baju-kurung/)
03:03:54	18214/18214	---M-Z	200	added ('OK')	text/css	date:Sun,%2008%20Jun%202025%2020:39:41%20GMT	https://mhf.org.sg/wp-content/plugins/the-events-calendar/build/css/tribe-events-single-skeleton.css?ver=6.13.2.1	C:/Baju%20Kurung%20Archive/Evolusi%20Baju%20Kurung/mhf.org.sg/wp-content/plugins/the-events-calendar/build/css/tribe-events-single-skeleton4e1e.css	(from https://mhf.org.sg/evolusi-baju-kurung/)
03:03:54	20341/20341	---M-Z	200	added ('OK')	text/css	date:Sun,%2008%20Jun%202025%2020:39:41%20GMT	https://mhf.org.sg/wp-content/plugins/the-events-calendar/build/css/tribe-events-single-full.css?ver=6.13.2.1	C:/Baju%20Kurung%20Archive/Evolusi%20Baju%20Kurung/mhf.org.sg/wp-content/plugins/the-events-calendar/build/css/tribe-events-single-full4e1e.css	(from https://mhf.org.sg/evolusi-baju-kurung/)
03:03:55	1128/1128	---M-Z	200	added ('OK')	text/css	date:Sun,%2008%20Jun%202025%2020:39:41%20GMT	https://mhf.org.sg/wp-content/plugins/the-events-calendar/build/css/integrations/plugins/elementor/widgets/widget-base.css?ver=6.13.2.1	C:/Baju%20Kurung%20Archive/Evolusi%20Baju%20Kurung/mhf.org.sg/wp-content/plugins/the-events-calendar/build/css/integrations/plugins/elementor/widgets/widget-base4e1e.css	(from https://mhf.org.sg/evolusi-baju-kurung/)
03:03:55	776/776	---M-Z	200	added ('OK')	text/css	date:Sun,%2008%20Jun%202025%2020:40:16%20GMT	https://mhf.org.sg/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor.css?ver=2.3.2	C:/Baju%20Kurung%20Archive/Evolusi%20Baju%20Kurung/mhf.org.sg/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor95b8.css	(from https://mhf.org.sg/evolusi-baju-kurung/)
03:03:55	21178/21178	---M-Z	200	added ('OK')	text/css	date:Sun,%2008%20Jun%202025%2020:35:42%20GMT	https://mhf.org.sg/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.40.0	C:/Baju%20Kurung%20Archive/Evolusi%20Baju%20Kurung/mhf.org.sg/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.minf531.css	(from https://mhf.org.sg/evolusi-baju-kurung/)
03:03:55	53358/53358	---M-Z	200	added ('OK')	text/css	date:Sun,%2008%20Jun%202025%2020:35:32%20GMT	https://mhf.org.sg/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.29.2	C:/Baju%20Kurung%20Archive/Evolusi%20Baju%20Kurung/mhf.org.sg/wp-content/plugins/elementor/assets/css/frontend.min2801.css	(from https://mhf.org.sg/evolusi-baju-kurung/)
03:03:55	1661/1661	---M-Z	200	added ('OK')	text/css	date:Sat,%2028%20Oct%202023%2014:57:50%20GMT	https://mhf.org.sg/wp-content/uploads/elementor/css/post-438.css?ver=1698505070	C:/Baju%20Kurung%20Archive/Evolusi%20Baju%20Kurung/mhf.org.sg/wp-content/uploads/elementor/css/post-438eb4c.css	(from https://mhf.org.sg/evolusi-baju-kurung/)
03:03:56	664152/664152	---M-Z	200	added ('OK')	text/css	date:Sun,%2008%20Jun%202025%2020:40:35%20GMT	https://mhf.org.sg/wp-content/plugins/ultimate-elementor/assets/min-css/uael-frontend.min.css?ver=1.39.7	C:/Baju%20Kurung%20Archive/Evolusi%20Baju%20Kurung/mhf.org.sg/wp-content/plugins/ultimate-elementor/assets/min-css/uael-frontend.min51ce.css	(from https://mhf.org.sg/evolusi-baju-kurung/)
03:03:56	57784/57784	---M-Z	200	added ('OK')	text/css	date:Sun,%2008%20Jun%202025%2020:40:51%20GMT	https://mhf.org.sg/wp-content/plugins/wpforms-lite/assets/css/frontend/classic/wpforms-base.min.css?ver=1.9.6	C:/Baju%20Kurung%20Archive/Evolusi%20Baju%20Kurung/mhf.org.sg/wp-content/plugins/wpforms-lite/assets/css/frontend/classic/wpforms-base.min055b.css	(from https://mhf.org.sg/evolusi-baju-kurung/)
03:03:56	5150/5150	---M-Z	200	added ('OK')	text/css	date:Sun,%2008%20Jun%202025%2020:35:33%20GMT	https://mhf.org.sg/wp-content/plugins/elementor/assets/css/widget-social-icons.min.css?ver=3.24.0	C:/Baju%20Kurung%20Archive/Evolusi%20Baju%20Kurung/mhf.org.sg/wp-content/plugins/elementor/assets/css/widget-social-icons.min2401.css	(from https://mhf.org.sg/evolusi-baju-kurung/)
03:03:56	732/732	---M-Z	200	added ('OK')	text/css	date:Sun,%2008%20Jun%202025%2020:35:42%20GMT	https://mhf.org.sg/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.css?ver=5.15.3	C:/Baju%20Kurung%20Archive/Evolusi%20Baju%20Kurung/mhf.org.sg/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands52d5.css	(from https://mhf.org.sg/evolusi-baju-kurung/)
03:03:57	72184/72184	---M-Z	200	added ('OK')	text/css	date:Sun,%2008%20Jun%202025%2020:35:42%20GMT	https://mhf.org.sg/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.css?ver=5.15.3	C:/Baju%20Kurung%20Archive/Evolusi%20Baju%20Kurung/mhf.org.sg/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome52d5.css	(from https://mhf.org.sg/evolusi-baju-kurung/)
