date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:37:09	19170/19170	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20May%202025%2014:37:07%20GMT	https://warisansongket.weebly.com/cara-pembuatan.html	C:/SONGKET%20ARCHIVE/Cara%20Pembuatan/warisansongket.weebly.com/cara-pembuatan.html	(from )
22:37:10	122/122	---MCZ	200	added ('OK')	text/plain	etag:W/%221732eaccad2d7274f8b2bde197a23934%22	https://warisansongket.weebly.com/robots.txt		(from )
22:37:11	32503/32503	---M--	200	added ('OK')	image/jpeg	etag:%220b9f0e02ab2b511f0c40d291a0e8c96e%22	http://warisansongket.weebly.com/uploads/1/3/8/5/13850108/8945409.jpg?1355623608	C:/SONGKET%20ARCHIVE/Cara%20Pembuatan/warisansongket.weebly.com/uploads/1/3/8/5/13850108/89454090b55.jpg	(from https://warisansongket.weebly.com/cara-pembuatan.html)
22:37:11	4748/4748	---M-Z	200	added ('OK')	text/css	etag:W/%22681d3428-128c%22	http://cdn1.editmysite.com/editor/libraries/fancybox/fancybox.css?1355632375	C:/SONGKET%20ARCHIVE/Cara%20Pembuatan/cdn1.editmysite.com/editor/libraries/fancybox/fancyboxd8c1.css	(from https://warisansongket.weebly.com/cara-pembuatan.html)
22:37:11	38313/38313	---M-Z	200	added ('OK')	text/css	etag:W/%226826416f-95a9%22	http://cdn1.editmysite.com/editor/images/common/common-v2.css?buildTime=1355632375	C:/SONGKET%20ARCHIVE/Cara%20Pembuatan/cdn1.editmysite.com/editor/images/common/common-v2dc3c.css	(from https://warisansongket.weebly.com/cara-pembuatan.html)
22:37:12	12455/12455	---MCZ	200	added ('OK')	text/css	date:Sun,%2025%20May%202025%2014:37:12%20GMT	https://warisansongket.weebly.com/files/main_style.css?1355639691	C:/SONGKET%20ARCHIVE/Cara%20Pembuatan/warisansongket.weebly.com/files/main_stylefd46.css	(from https://warisansongket.weebly.com/cara-pembuatan.html)
22:37:13	141993/141993	---M--	200	added ('OK')	image/jpeg	etag:%2240b9001dbdaa5a59f68ccd335f892836%22	https://warisansongket.weebly.com/uploads/1/3/8/5/13850108/header_images/1355628184.jpg	C:/SONGKET%20ARCHIVE/Cara%20Pembuatan/warisansongket.weebly.com/uploads/1/3/8/5/13850108/header_images/1355628184.jpg	(from https://warisansongket.weebly.com/cara-pembuatan.html)
22:37:15	14804/14804	---M-Z	200	added ('OK')	application/javascript	etag:%226826416f-39d4%22	http://cdn1.editmysite.com/editor/libraries/jquery_effects.js?1355632375	C:/SONGKET%20ARCHIVE/Cara%20Pembuatan/cdn1.editmysite.com/editor/libraries/jquery_effectsd8c1.js	(from https://warisansongket.weebly.com/cara-pembuatan.html)
22:37:16	30862/30862	---M-Z	200	added ('OK')	application/javascript	etag:%226823963c-788e%22	http://cdn1.editmysite.com/editor/libraries/jquery.animate.js?1355632375	C:/SONGKET%20ARCHIVE/Cara%20Pembuatan/cdn1.editmysite.com/editor/libraries/jquery.animated8c1.js	(from https://warisansongket.weebly.com/cara-pembuatan.html)
22:37:16	23880/23880	---M-Z	200	added ('OK')	application/javascript	etag:%226826416f-5d48%22	http://cdn1.editmysite.com/editor/libraries/fancybox/fancybox.min.js?1355632375	C:/SONGKET%20ARCHIVE/Cara%20Pembuatan/cdn1.editmysite.com/editor/libraries/fancybox/fancybox.mind8c1.js	(from https://warisansongket.weebly.com/cara-pembuatan.html)
22:37:17	146/146	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2025%20May%202025%2014:37:16%20GMT	http://cdn1.editmysite.com/editor/libraries/flyout_menus_jq.js?1355632375	C:/SONGKET%20ARCHIVE/Cara%20Pembuatan/cdn1.editmysite.com/editor/libraries/flyout_menus_jqd8c1.js	(from https://warisansongket.weebly.com/cara-pembuatan.html)
22:37:17	43514/43514	---M-Z	200	added ('OK')	application/javascript	etag:%22682e0973-a9fa%22	http://cdn1.editmysite.com/editor/images/common/utilities-jq.js?1355632375	C:/SONGKET%20ARCHIVE/Cara%20Pembuatan/cdn1.editmysite.com/editor/images/common/utilities-jqd8c1.js	(from https://warisansongket.weebly.com/cara-pembuatan.html)
22:37:17	94840/94840	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.7.2/jquery.min.js	C:/SONGKET%20ARCHIVE/Cara%20Pembuatan/ajax.googleapis.com/ajax/libs/jquery/1.7.2/jquery.min.js	(from https://warisansongket.weebly.com/cara-pembuatan.html)
22:37:18	16257/16257	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20May%202025%2014:37:17%20GMT	https://warisansongket.weebly.com/index.html	C:/SONGKET%20ARCHIVE/Cara%20Pembuatan/warisansongket.weebly.com/index.html	(from https://warisansongket.weebly.com/cara-pembuatan.html)
22:37:20	17916/17916	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20May%202025%2014:37:19%20GMT	https://warisansongket.weebly.com/sejarah.html	C:/SONGKET%20ARCHIVE/Cara%20Pembuatan/warisansongket.weebly.com/sejarah.html	(from https://warisansongket.weebly.com/cara-pembuatan.html)
22:37:21	17801/17801	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20May%202025%2014:37:19%20GMT	https://warisansongket.weebly.com/jenis-corak.html	C:/SONGKET%20ARCHIVE/Cara%20Pembuatan/warisansongket.weebly.com/jenis-corak.html	(from https://warisansongket.weebly.com/cara-pembuatan.html)
22:37:23	16305/16305	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20May%202025%2014:37:20%20GMT	https://warisansongket.weebly.com/motif.html	C:/SONGKET%20ARCHIVE/Cara%20Pembuatan/warisansongket.weebly.com/motif.html	(from https://warisansongket.weebly.com/cara-pembuatan.html)
