date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:59:23	35329/35329	---MC-	200	added ('OK')	text/html	date:Thu,%2012%20Jun%202025%2006:59:27%20GMT	https://disbud.bulelengkab.go.id/informasi/detail/artikel/31_kain-songket-buleleng	C:/SONGKET%20ARCHIVE/Kain%20Songket%20Bulelang/disbud.bulelengkab.go.id/informasi/detail/artikel/31_kain-songket-buleleng.html	(from )
14:59:23	1443/1443	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2012%20Jun%202025%2006:59:27%20GMT	https://disbud.bulelengkab.go.id/robots.txt		(from )
14:59:24	35351/35351	---M--	200	added ('OK')	image/png	etag:%2260f0f411-8a17%22	https://disbud.bulelengkab.go.id/assets/image/logo_buleleng_100.png	C:/SONGKET%20ARCHIVE/Kain%20Songket%20Bulelang/disbud.bulelengkab.go.id/assets/image/logo_buleleng_100.png	(from https://disbud.bulelengkab.go.id/informasi/detail/artikel/31_kain-songket-buleleng)
14:59:25	161409/161409	---M--	200	added ('OK')	text/css	etag:%2267510dad-27681%22	https://disbud.bulelengkab.go.id/assets/front_end/bootstrap/css/bootstrap.css	C:/SONGKET%20ARCHIVE/Kain%20Songket%20Bulelang/disbud.bulelengkab.go.id/assets/front_end/bootstrap/css/bootstrap.css	(from https://disbud.bulelengkab.go.id/informasi/detail/artikel/31_kain-songket-buleleng)
14:59:25	96518/96518	---M-Z	200	added ('OK')	text/css	etag:%226696a8d8-546c%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.6.0/css/all.min.css	C:/SONGKET%20ARCHIVE/Kain%20Songket%20Bulelang/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.6.0/css/all.min.css	(from https://disbud.bulelengkab.go.id/informasi/detail/artikel/31_kain-songket-buleleng)
14:59:26	3351/3351	---M--	200	added ('OK')	text/css	etag:%225ad924a2-d17%22	https://disbud.bulelengkab.go.id/assets/front_end/owlcarousel/css/owl.carousel.min.css	C:/SONGKET%20ARCHIVE/Kain%20Songket%20Bulelang/disbud.bulelengkab.go.id/assets/front_end/owlcarousel/css/owl.carousel.min.css	(from https://disbud.bulelengkab.go.id/informasi/detail/artikel/31_kain-songket-buleleng)
14:59:26	255528/255528	---M--	200	added ('OK')	image/jpeg	etag:%2264911ab0-3e628%22	https://disbud.bulelengkab.go.id/uploads/konten/31_kain-songket-buleleng.jpg	C:/SONGKET%20ARCHIVE/Kain%20Songket%20Bulelang/disbud.bulelengkab.go.id/uploads/konten/31_kain-songket-buleleng.jpg	(from https://disbud.bulelengkab.go.id/informasi/detail/artikel/31_kain-songket-buleleng)
14:59:26	1013/1013	---M--	200	added ('OK')	text/css	etag:%225ad924a2-3f5%22	https://disbud.bulelengkab.go.id/assets/front_end/owlcarousel/css/owl.theme.default.min.css	C:/SONGKET%20ARCHIVE/Kain%20Songket%20Bulelang/disbud.bulelengkab.go.id/assets/front_end/owlcarousel/css/owl.theme.default.min.css	(from https://disbud.bulelengkab.go.id/informasi/detail/artikel/31_kain-songket-buleleng)
14:59:26	34475/34475	---M--	200	added ('OK')	text/css	etag:%2260eb9e5a-86ab%22	https://disbud.bulelengkab.go.id/assets/back_end/admin_lte/plugins/sweetalert2-theme-bootstrap-4/bootstrap-4.min.css	C:/SONGKET%20ARCHIVE/Kain%20Songket%20Bulelang/disbud.bulelengkab.go.id/assets/back_end/admin_lte/plugins/sweetalert2-theme-bootstrap-4/bootstrap-4.min.css	(from https://disbud.bulelengkab.go.id/informasi/detail/artikel/31_kain-songket-buleleng)
14:59:26	16776/16776	---M--	200	added ('OK')	text/css	etag:%2267074513-4188%22	https://disbud.bulelengkab.go.id/assets/front_end/style_instansi.css	C:/SONGKET%20ARCHIVE/Kain%20Songket%20Bulelang/disbud.bulelengkab.go.id/assets/front_end/style_instansi.css	(from https://disbud.bulelengkab.go.id/informasi/detail/artikel/31_kain-songket-buleleng)
