date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:22:39	99473/99473	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20May%202025%2014:22:38%20GMT	https://bibahsongket.easy.co/blogs/to-love-songket-/songket-symbolism	C:/SONGKET%20ARCHIVE/Songket%20Symbolism/bibahsongket.easy.co/blogs/to-love-songket-/songket-symbolism.html	(from )
22:22:39	363/363	---MCZ	200	added ('OK')	text/plain	date:Sun,%2025%20May%202025%2014:22:39%20GMT	https://bibahsongket.easy.co/robots.txt		(from )
22:22:40	3768/3768	---M--	200	added ('OK')	image/webp	etag:%227c295a3bbb5f78134f07625daa8bf939%22	https://cdn.store-assets.com/s/100017/f/10026358.jpg	C:/SONGKET%20ARCHIVE/Songket%20Symbolism/cdn.store-assets.com/s/100017/f/10026358.jpg	(from https://bibahsongket.easy.co/blogs/to-love-songket-/songket-symbolism)
22:22:40	47474/47474	---MCZ	200	added ('OK')	text/css	etag:W/%22a2f954c71d7be61ad1920ba37df28a80%22	https://store-themes.easystore.co/100017/themes/2/assets/timber.css?t=1743699615	C:/SONGKET%20ARCHIVE/Songket%20Symbolism/store-themes.easystore.co/100017/themes/2/assets/timber16a8.css	(from https://bibahsongket.easy.co/blogs/to-love-songket-/songket-symbolism)
22:22:41	29234/29234	---MCZ	200	added ('OK')	text/css	etag:W/%2201bdc27e1ad49bdf7d5167ce576f6ae8%22	https://store-themes.easystore.co/100017/themes/2/assets/theme.css?t=1743699615	C:/SONGKET%20ARCHIVE/Songket%20Symbolism/store-themes.easystore.co/100017/themes/2/assets/theme16a8.css	(from https://bibahsongket.easy.co/blogs/to-love-songket-/songket-symbolism)
22:22:42	5607/5607	---M-Z	200	added ('OK')	application/javascript	etag:W/%22682eeefa-15e7%22	https://bibahsongket.easy.co/assets/events.js	C:/SONGKET%20ARCHIVE/Songket%20Symbolism/bibahsongket.easy.co/assets/events.js	(from https://bibahsongket.easy.co/blogs/to-love-songket-/songket-symbolism)
22:22:42	5356/5356	---M-Z	200	added ('OK')	application/javascript	etag:W/%22682eeefa-14ec%22	https://bibahsongket.easy.co/assets/traffic.js?v=1	C:/SONGKET%20ARCHIVE/Songket%20Symbolism/bibahsongket.easy.co/assets/traffic3860.js	(from https://bibahsongket.easy.co/blogs/to-love-songket-/songket-symbolism)
22:22:43	3539/3539	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22e8a7c9329f429b2b271e31c540e61075%22	https://store-themes.easystore.co/100017/themes/2/assets/modernizr.min.js?t=1743699615	C:/SONGKET%20ARCHIVE/Songket%20Symbolism/store-themes.easystore.co/100017/themes/2/assets/modernizr.min16a8.js	(from https://bibahsongket.easy.co/blogs/to-love-songket-/songket-symbolism)
22:22:45	27466/27466	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-6b4a%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.5.0/css/font-awesome.min.css	C:/SONGKET%20ARCHIVE/Songket%20Symbolism/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.5.0/css/font-awesome.min.css	(from https://bibahsongket.easy.co/blogs/to-love-songket-/songket-symbolism)
22:22:46	5254/5254	---M-Z	200	added ('OK')	text/css	etag:W/%22682eef6b-1486%22	https://bibahsongket.easy.co/assets/css/froala_style.min.css	C:/SONGKET%20ARCHIVE/Songket%20Symbolism/bibahsongket.easy.co/assets/css/froala_style.min.css	(from https://bibahsongket.easy.co/blogs/to-love-songket-/songket-symbolism)
22:22:46	96381/96381	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.11.0/jquery.min.js	C:/SONGKET%20ARCHIVE/Songket%20Symbolism/ajax.googleapis.com/ajax/libs/jquery/1.11.0/jquery.min.js	(from https://bibahsongket.easy.co/blogs/to-love-songket-/songket-symbolism)
22:22:46	22318/22318	---M--	200	added ('OK')	image/png	etag:%223b376c0e7f9fae3b91aa83ebc28cc4da%22	https://cdn.store-assets.com/s/100017/f/13272308.png?width=350	C:/SONGKET%20ARCHIVE/Songket%20Symbolism/cdn.store-assets.com/s/100017/f/13272308096d.png	(from https://bibahsongket.easy.co/blogs/to-love-songket-/songket-symbolism)
